author	inferreddate	shorttitle	place
Semple, Robert	1806.0	Charles Ellis, or, The friends : a novel, comprising the incidents and observations occurring on a voyage to the Brazils and West Indies, actually performed by the writer	enk
Morgan	1806.0	st ed	enk
Morgan, (Sydney), Lady	1806.0	The novice of Saint Dominick	enk
Morgan	1806.0	The novice of Saint Dominick	enk
Wheatley, Sarah	1806.0	The Christmas fire-side	enk
	1806.0	The stranger	enk
Disraeli, Isaac	1806.0	Flim-flams! : or, The life and errors of my uncle and his friends : a literary romance	enk
Roberts	1806.0	Delmore	enk
Siddons, Henry	1806.0	The maid, wife, and widow	enk
Bennett	1806.0	Vicissitudes abroad;	enk
Frances, Sophia L	1806.0	Vivonio, or, The hour of retribution	enk
	1806.0	Classic tales : serious and lively	enk
	1806.0	Voltaire	enk
	1806.0	Johnson - Marmontel	enk
	1806.0	Marmontel - Hawkesworth	enk
	1806.0	Hawkesworth - Sterne	enk
Lewis, M. G. (Matthew Gregory)	1806.0	Feudal tyrants; or, The Counts of Carlsheim and Sargans.  A romance	enk
comtesse de, Genlis, Stéphanie Félicité	1806.0	Madame de Maintenon	enk
Mangin, Edward	1806.0	Oddities and outlines	enk
	1806.0	Jack and Jill and old Dame Gill	enk
Goldsmith, Oliver	1806.0	The miscellaneous works of Oliver Goldsmith	enk
Fisher, James	1806.0	A spring-day : or, Contemplations on several occurrences which naturally strike the eye in that delightful season	enk
Goldsmith, Oliver	1806.0	Miscellanies	enk
Porter, Anna Maria	1807.0	The Hungarian brothers	enk
Chapone, (Hester), Mrs	1807.0	Life and correspondence	enk
Hunt, Leigh	1807.0	Mackenzie. Goldsmith. Brooke	enk
Hunt, Leigh	1807.0	Voltaire	enk
Hunt, Leigh	1807.0	Johnson. Marmontel	enk
Hunt, Leigh	1807.0	Marmontel. Hawkesworth	enk
Hunt, Leigh	1807.0	Hawkesworth. Sterne	enk
Morais, Francisco de	1807.0	Palmerin of England	enk
Grant, Anne MacVicar	1807.0	Letters from the mountains;	enk
Heron, Robert	1807.0	The comforts of human life;	enk
Kotzebue, August von	1807.0	The grave on the hill. Shun even the appearance of vice. The guardian angel. The revenge. The pigeon. The sacred enthusiast	enk
	1807.0	The memoirs of Charles Westcote, in which is introduced the History of the monk Francisco	enk
Fénelon, François de Salignac de La Mothe-	1807.0	Telemachus	enk
Stanhope, Louisa Sidney	1807.0	The bandit's bride;	enk
Stanhope, Louisa Sidney	1807.0	The bandit's bride; or, The maid of Saxony. A romance	enk
Sedley, Charles	1807.0	The barouche driver and his wife	enk
	1807.0	The Convent of Notre Dame	enk
Roche, Regina Maria	1807.0	The discarded son;	enk
Maturin, Charles Robert	1807.0	Fatal revenge; or, The family of Montorio	enk
Lewis, M. G. (Matthew Gregory)	1807.0	Feudal tyrants;	enk
Mortimer, Edward	1807.0	The friar Hildargo	enk
Mangin, Edward	1807.0	George the third	enk
Sedley, Charles	1807.0	The infidel mother: or, Three winters in London	enk
Surr, T. S	1807.0	The mask of fashion;	enk
Reeve, Sophia	1807.0	The mysterious wanderer	enk
Ormsby, Anne	1807.0	The soldier's family	enk
Young, Mary Julia	1807.0	A summer at Brighton	enk
	1807.0	Theodore	enk
Dacre, Charlotte	1807.0	The libertine;	enk
Ireland, W. H. (William Henry)	1807.0	All the blocks! : or, an antidote to 'All the talents'. A satirical poem in three dialogues	enk
Kotzebue, August von	1807.0	The pastor's daughter : with other romances	enk
Kotzebue, August von	1807.0	The pastor's daughter (cont'd).-The protecting spirit	enk
Kotzebue, August von	1807.0	The subterraneous passage.-The revenge	enk
Kotzebue, August von	1807.0	The life of my father.-The romantic wife	enk
	1807.0	The house that Jack built, a game of forfeits	enk
	1807.0	The twin sisters; or, The advantages of religion	enk
Barnard, John, Sir	1807.0	A present for an apprentice, or, A sure guide to esteem and wealth with rules for his conduct to his master and in the world	enk
Lathom, Francis	1807.0	Human beings, a novel	enk
Turner, (Elizabeth), Mrs	1807.0	The daisy : or, cautionary stories in verse, adapted to the ideas of children from four to eight years old	enk
Rabelais, François	1807.0	The works of Francis Rabelais	enk
Bayfield, E. G	1807.0	A winter in Bath	enk
Strutt, Joseph	1808.0	Queenhoo-Hall : a romance ; and Ancient times, a drama	stk
Strutt, Joseph	1808.0	Queenhoo-hall	stk
Bunyan, John	1808.0	The pilgrim's progress, from this world to that which is to come. Delivered under the similitude of a dream	enk
Mackenzie, Henry	1808.0	Man of feeling. Man of the world	stk
Mackenzie, Henry	1808.0	Man of the world (cont	stk
Mackenzie, Henry	1808.0	Julia de Roubigné	stk
Mackenzie, Henry	1808.0	Papers from The Mirror	stk
Mackenzie, Henry	1808.0	Papers from The Mirror (cont.) Papers from The Lounger	stk
Mackenzie, Henry	1808.0	Papers from The Lounger (cont	stk
Knight, Ellis Cornelia	1808.0	Marcus Flaminius; or A view of the military, political, and social life of the Romans: in a series of letters from a patrician to his friend	enk
	1808.0	Sketches of character, or Specimens of real life.  A novel	enk
novelist. Sedley, Charles	1808.0	Asmodeus; or, The devil in London: a sketch	enk
Lewis, M. G. (Matthew Gregory)	1808.0	Mistrust; or, Blanche and Osbright.--The admiral Guarino.--King Rodrigo's fall.--Bertrand and Mary-Belle.--The lord of Falkenstein.--Sir Guy, the seeker	enk
Lewis, M. G. (Matthew Gregory)	1808.0		enk
Lewis, M. G. (Matthew Gregory)	1808.0	Oberson's henchmen, or, The legend of the three sisters	enk
Lewis, M. G. (Matthew Gregory)	1808.0	My uncle's garret-window.--Bill Jones.--Amorassan, or, The spirit of the frozen ocean	enk
Hurstone, J. P	1808.0	Royal intrigues, or, Secret memoirs of four princesses	enk
Beresford, James	1808.0	An antidote to the miseries of human life : in the History of the widow Placid and her daughter Rachael	enk
Green, Sarah	1808.0	The private history of the court of England	enk
Dallas, Robert Charles	1808.0	The knights	enk
Dallas, Robert Charles	1808.0	The knights: tales illustrative of the marvellous	enk
Goethe, Johann Wolfgang von	1808.0	The sorrows of Werter; translated from the German of Baron Goethe	enk
Moore, George	1808.0	Tales of the passions; in which is attempted an illustration of their effects on the human mind: each tale comprised in one volume, and forming the subject of a single passion	enk
Citizen of the world	1808.0	The atrocities of a convent, or, The necessity of thinking for ourselves	enk
Gunning	1808.0	The exile of Erin	enk
Burney, Sarah Harriet	1808.0	Geraldine Fauconberg	enk
Warner	1808.0	Herbert-Lodge	enk
Hook, Theodore Edward	1808.0	The man of sorrow;	enk
	1808.0	The Master passion; or, The history of Frederick Beaumont	enk
Moore, George	1808.0	Tales of the passions	enk
Sedley, Charles	1808.0	A winter in Dublin	enk
Sedley, Charles, Sir	1808.0	A winter in Dublin: a descriptive tale	enk
Maturin, Charles Robert	1808.0	The wild Irish boy : in three volumes	enk
St. John, Andrew	1808.0	Tales of former times. Embellished with two elegant engravings	enk
Hamilton, Elizabeth	1808.0	The cottagers of Glenburnie : a tale for the farmer's ingle-nook	stk
Madame Cottin, (Sophie)	1808.0	Clara : a novel, in two volumes	enk
Mackenzie, William	1808.0	The academy; or, A picture of youth	enk
Goldsmith, Oliver	1808.0	The miscellaneous works ... containing The vicar of Wakefield, Citizen of the world, and essays and poems	enk
Edgeworth, Maria	1809.0	Tales of fashionable life	enk
Edgeworth, Maria	1809.0	Manoeuvring	enk
Edgeworth, Maria	1809.0	Vivian	enk
Edgeworth, Maria	1809.0	The absentee (Cont	enk
Porter, Anna Maria	1809.0	Don Sebastian; or, The House of Braganza an historical romance	enk
Porter, Anna Maria	1809.0	Don Sebastian	enk
Morgan	1809.0	Woman	enk
Carter, Elizabeth	1809.0	A series of letters between Mrs. Elizabeth Carter and Miss Catherine Talbot, from the year 1741 to 1770 : to which are added, Letters from Mrs. Elizabeth Carter to Mrs. Vesey, between the years 1763 and 1787 : published from the original manuscripts in the posession of the Rev. Montagu Pennington	enk
pseud. Sketchwell, Barnaby, Sir	1809.0	London characters; or, Fashions and customs, of the present century	enk
pseud. Pry, Peter	1809.0	Marmion travestied; a tale of modern times	enk
Lamb, Charles	1809.0	Tales from Shakespear : designed for the use of young persons	enk
Defoe, Daniel	1809.0	Life of Colonel Jack	stk
Defoe, Daniel	1809.0	The adventures of Captain Singleton	stk
Defoe, Daniel	1809.0	A new voyage round the world	stk
Edgeworth, Maria	1809.0	Emilie de Coulanges.  The absentee	enk
Moore, Thomas George	1809.0	The bachelor	enk
Hill, Thomas	1809.0	Marmion travestied	enk
Kett, Henry	1809.0	Emily, a moral tale, including letters from a father to his daughter, upon the most important subjects	enk
Smollett, T. (Tobias)	1809.0	The miscellaneous works of Tobias Smollett;	enk
Corp, Harriet	1809.0	A sequel to The antidote to the miseries of human life	enk
Sketchwell, Barnaby	1809.0	London characters, or, Anecdotes, fashions, and customs, of the present century	enk
pseud. Rover, George, Sir	1809.0	Coelebs suited; or the opinions and part of the life of Caleb Coelebs, Esq., a distant relation of the late Charles Coelebs, Esq., deceased	enk
Cumberland, Richard	1809.0	John de Lancaster.  A novel	enk
Lucas, William	1809.0	The travels of Humanius, in search of the temple of happiness; an allegory	enk
Bage, Robert	1809.0	Man as he is not; or, Hermsprong, a novel	enk
Count, Hamilton, Anthony	1809.0	Memoirs of Count Grammont	enk
Defoe, Daniel	1809.0	Memoirs of a cavalier	stk
Smith, Elizabeth	1809.0	Fragments, in prose and verse:	enk
Francis, Sophia L	1809.0	Angelo Guicciardini, or, The bandit of the Alps	enk
Kett, Henry	1809.0	Emily	enk
	1809.0	The English brothers; or, Anecdotes of the Howard family	enk
Cumberland, Richard	1809.0	John de Lancaster	enk
Meeke, Mary	1809.0	Langhton Priory	enk
Peregrine, Peter	1809.0	Matilda Montfort	enk
	1809.0	Modern times, or, Anecdotes of the English family	enk
Howell, Thomas Bayly	1809.0	Cobbett's complete collection of state trials and proceedings for high treason, and other crimes and misdemeanor from the earliest period to the present time ... from the ninth year of the reign of King Henry, the Second, A.D.1163, to ... [George IV, A.D.1820]	enk
Newton, John	1809.0	Twenty-one letters : written to a near relative at school	enk
Madame Cottin, (Sophie)	1809.0	Amelia Mansfield : a novel	enk
Byron, Medora Gordon	1809.0	Celia in search of a husband	enk
Opie, Amelia Alderson	1809.0	Simple tales	enk
Peele, George	1809.0	Merrie conceited jests, of George Peele gentleman, sometimes student in Oxford	enk
Sandham, Elizabeth	1809.0	The adventures of poor puss	enk
Crabbe, George	1810.0	The borough : a poem, in twenty-four letters	enk
Dorat, Claude Joseph	1810.0	Chevalier de Versenai, a novel, translated from the French of Mad. Cottin	enk
	1810.0	Letters of Charlotte	enk
Porter, Jane	1810.0	The Scottish chiefs	enk
Stockdale, John Joseph	1810.0	Tales;	enk
	1810.0	Elegant extracts	enk
Baxter, Thomas	1810.0	An illustration of the Egyptian, Grecian, and Roman costume; in forty outlines, with descriptions, selected, drawn & engraved	enk
marquise, Du Deffand, Marie de Vichy Chamrond	1810.0	The unpublished correspondence of Madame du Deffand with d'Alembert, Montesquieu, the President Hénault, the Duchess du Maine, Mesdames de Staal, de Choiseul, the Marquis d'Argens, the Chevalier D'Aydie, &c. : followed by the Letters of Voltaire to Madame du Deffand	enk
	1810.0	Pindar of Wakefield; or, The history and exploits of G.A. Green, fellow champion and competitor with Robin Hood	enk
Scott, Honoria	1810.0	Amatory tales of Spain, France, Switzerland, and the Mediterranean: containing The fair Andalusian; Rosolia of Palermo; and The Maltese portrait: interspersed with pieces of original poetry	enk
	1810.0	Cheap repository tracts: entertaining, moral, and religious	enk
	1810.0	Ballads, songs, &c. Satirical and humorous	enk
Sterne, Laurence	1810.0	The beauties of Sterne; containing all his pathetic tales, his humorous descriptions, his most distinguished observations on life, and a copious selection from his sermons	enk
	1810.0	The British novelists; with an essay, and prefaces, biographical and critical by Mrs. Barbauld	enk
Jones, E. (Evan)	1810.0	The bard, or, The towers of Morven : a legendary tale	enk
	1810.0	The adulteress ; or, anecdotes of two noble families	enk
Hatton, Ann Julia (Kemble)	1810.0	Cambrian pictures, or, Every one has errors	enk
Palmer, Alicia Tindal	1810.0	The daughters of Isenberg: a Bavarian romance	enk
Norris	1810.0	Euphronia, or The captive	enk
Cuthbertson, Catherine	1810.0	Forest of Montalbano	enk
English, John	1810.0	The grey friar, and the black spirit of the Wye	enk
	1810.0	Madness the rage; or, Memoirs of a man without a name	enk
Holstein, Anthony Frederick	1810.0	The miseries of an heiress	enk
Walsh	1810.0	The officer's daughter; or, A visit to Ireland in 1790	enk
Roche, John Hamilton	1810.0	A Suffolk tale;	enk
Edgeworth, Maria	1810.0	Tales of real life	enk
	1810.0	The daughter	enk
Sterne, Laurence	1810.0	A sentimental journey through France and Italy. : In two volumes	enk
Madame Cottin, (Sophie)	1810.0	Malvina	enk
Madame Cottin, (Sophie)	1810.0	d ed	enk
	1810.0	The adventures of Cinderella	enk
	1810.0	The History of little King Pippin	enk
	1810.0	A New edition of the Old Joe Miller, or, Universal Jester : being a collection of wit and humour : calculated at once to banish care and inspire mirth and delight	enk
Mackenzie, William	1810.0	The rector and his pupils : being a sequel to The academy, or Picture of youth	enk
	1810.0	The British novelists : comprising every work of acknowledged merit which is usually classed under the denomination of novels : accompanied with biographical sketches of the authors, and a critical preface to each work	enk
Morgan, (Sydney), Lady	1811.0	The missionary: an Indian tale	enk
Mason, William	1811.0	Odes. Elegies. Sonnets. Epitaphs and inscriptions. Miscellanies. The English garden. Religio clerici. Hymns. Psalms	enk
Mason, William	1811.0	Art of painting. Essays on English church music	enk
